Region,1980,2000,2020
Africa,16.066,41.48712,129.3337103
Asia & Oceania,1206.112,3754.151136,11973.91248
Central & South America,67.29144,201.58329,253.4496935
Europe,1043.767,1614.76938,1907.655543
Middle East,91.44,444.3631,1193.589022
North America,2721.528364,4585.727133,5001.968095
