Region,1980,2000,2020
Africa,1.79323,6.519512,20.140446
Asia & Oceania,96.0187,374.9855261,738.161851
Central & South America,8.84676,29.66201,39.410453
Europe,92.979,153.013,152.4135568
Middle East,6.93678,51.343,162.287147
North America,255.8195406,319.2691602,270.6442235
